id,name,purpose,mmname,position,party
2083,All-Party Parliamentary Group on Singapore,To promote and advance relations with Singapore.,John Spellar,Chair & Registered Contact,Labour
2084,All-Party Parliamentary Group on South Africa,To promote the good relationships between the UK and South Africa.,John Spellar,Vice Chair,Labour
2085,All-Party Parliamentary Group on Thailand,To promote good UK and Thailand relations.,John Spellar,Vice-Chair,Labour
2086,All-Party Parliamentary Group on Tunisia,"To build and foster relations between Britain and Tunisia and to develop a fundamental knowledge of the socio economic, social, and political problems facing the country.",John Spellar,Vice Chair,Labour
2087,All-Party Parliamentary Group on Baseball,To support the sport of baseball at all levels.,John Spellar,Vice Chair,Labour
2088,All-Party Parliamentary Betting and Gaming Group,To act as a forum for the discussion of issues concerning betting and gaming in the UK.,John Spellar,Vice Chair,Labour
2089,All-Party Parliamentary Group for Boxing,To engage with government and Parliament to support all aspects of boxing. To set out the benefits of boxing to individuals and wider society; reduce the barriers to participation in boxing; celebrate the success of our nation‰Ûªs boxers; and highlight the potential for boxing to tackle urgent social needs in the UK.,John Spellar,Vice Chair,Labour
2090,All-Party Parliamentary Group on Darts,"To promote the sport of darts and support its continued development, as well as to inform and educate members of both Houses of Parliament and the wider public about the contribution of the sport to personal development, communities and charitable causes.",John Spellar,Vice Chair,Labour
2091,All-Party Parliamentary Gardening and Horticulture Group,To promote and facilitate communication and understanding between representatives of the world of gardening and horticulture and Members of both Houses.,John Spellar,Vice-Chair,Labour
2092,All-Party Parliamentary Group on International Relations,"To foster exemplary practice in international relations between parliamentary agencies, bodies and communities which promote benefits for humanity in a globally connected world.",John Spellar,Vice Chair,Labour
2093,River Thames All-Party Parliamentary Group,"To unite River Thames riparian parliamentarians to improve, protect, promote and enhance flood risk management, navigation, moorings, sport, recreation, environment, planning, tourism and education. To enhance and increase access, safety, information, employment, facilities, services, infrastructure, value and use of the entire river and its corridor environs from source to sea.",John Spellar,Officer,Labour
2094,Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",John Spellar,Vice Chair,Labour
2095,All-Party Parliamentary Group on Tackling Terrorism,To evaluate and develop policies on tackling terrorism.,John Spellar,Vice Chair,Labour
2096,All-Party Parliamentary Group on Transatlantic Trade,"To provide a focus for UK parliamentary cross-party support for a comprehensive transatlantic trade and investment agreement; to contribute to greater public debate and understanding of potential benefits and drawbacks for British consumers, workers, businesses; to strengthen parliamentary and public scrutiny to help secure a successful agreement.",John Spellar,Chair & Registered Contact,Labour
2097,All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,John Stevenson,Chair & Registered Contact,Conservative
2098,All-Party Parliamentary Group for Food and Drink Manufacturing,"To act as the voice of food and drink manufacturing in Parliament. The Group serves to raise the profile of the food and drink industry - the UK's largest manufacturing sector, allowing MPs and Peers to explore issues affecting the industry through a programme of events, topical discussions, and site visits.",John Stevenson,Chair & Registered Contact,Conservative
2099,All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",John Stevenson,Vice-Chair,Conservative
2100,Northern Powerhouse All-Party Parliamentary Group,"To bring together northern MPs and Peers with the new metro mayors and key leaders - from local government, the private and third sectors - to give a strong political voice for policies which support the northern economy and promote its potential as a place to study, work, live and invest.",John Stevenson,Co-Chair,Conservative
2101,All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,John Stevenson,Vice-Chair,Conservative
2102,All-Party Parliamentary Group on Scotch Whisky,To promote and facilitate communication and understanding between representatives of the Scotch Whisky industry and MPs.,John Stevenson,Vice Chair,Conservative
2103,All-Party Parliamentary Group on Taxation,"To look at and understand tax policy and taxation on all levels including simplification and digitalisation, EU Brexit and its impact on the UK‰Ûªs taxation system, and international taxation. To work in partnership with HM Treasury to create a 'safe space' for Parliamentarians and interested stakeholders to meet, discuss and develop innovative proposals to reform, simplify and make the UK‰Ûªs taxation system fairer.",John Stevenson,Vice Chair,Conservative
2104,West Coast Main Line All-Party Parliamentary Group,To work in consultation with the West Coast Rail 250 Campaign for the upgrading and continued renewal of the infrastructure and rolling stock on the West Coast Main Line.,John Stevenson,Chair & Registered Contact,Conservative
2105,All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,John Stevenson,Vice Chair,Conservative
2106,All-Party Parliamentary Group on Nuclear Energy,A forum for parliamentarians to discuss civil nuclear energy on a cross-party basis.,John Woodcock,Vice-Chair,Independent
2107,All-Party Parliamentary Group on the Armed Forces Covenant,To inform parliamentarians on all aspects of the Armed Forces Covenant and its implementation.,Johnny Mercer,Vice Chair,Conservative
2108,All-Party Parliamentary Group on Complex Needs,"To give parliamentarians a greater understanding of the barriers faced by those with complex needs or dual diagnosis who may have to negotiate a number of issues (mental health, substance misuse issues) in their lives while often living in deprivation and lacking access to stable housing or meaningful daily activities.",Johnny Mercer,Vice Chair,Conservative
2109,Veterans All-Party Parliamentary Group,"To maintain a strong focus from government and policy makers on the importance of veterans, young and old, to our communities and way of life and to work with the relevant service organisations to build a strong profile to enhance our work supporting veterans.",Johnny Mercer,Vice-Chair,Conservative
2110,All-Party Parliamentary Group for Young Disabled People,"To work within Parliament for the interests of young disabled people with mobility difficulties, in particular to fight against the social injustices experienced by these young people.",Johnny Mercer,Vice Chair,Conservative
2111,All-Party Parliamentary Group on Allergy,"To improve the lives of all people living with allergy across the UK; to improve National Health Service allergy services and allow greater access to existing services; to raise awareness of the condition, severity and prevalence and encourage greater understanding.",Jon Cruddas,Chair & Registered Contact,Labour
2112,All-Party Parliamentary Group for American Football,To support the sport of American football.,Jon Cruddas,Vice Chair,Labour
2113,All-Party Parliamentary Angling Group,To promote angling and conservation.,Jon Cruddas,Treasurer,Labour
2114,All-Party Parliamentary Group on Deliberative Democracy,"To promote the understanding and spread of deliberative democracy, including the greater use of citizens assemblies, citizens conventions and citizens juries.",Jon Cruddas,Vice Chair,Labour
2115,All-Party Parliamentary Group for the Golfing Society,"To enable all MPs, Peers and staff in Parliament to play in golf matches, without being a member of any formal club, against other golf clubs in the UK, giving members of those clubs the opportunity to better understand the workings of Parliament.",Jon Cruddas,Chair & Registered Contact,Labour
2116,All-Party Parliamentary Group on Taxis,To support and promote the interests of the taxi trade in parliament.,Jon Cruddas,Vice Chair,Labour
2117,All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Jonathan Edwards,Vice Chair,Plaid Cymru
2118,All-Party Parliamentary Group on Debt and Personal Finance,To provide a forum for MPs and peers to discuss debt and personal finance issues; to monitor legislative and other developments in this area; and to provide an opportunity for liaison between members and consumer organisations with an interest in these issues.,Jonathan Edwards,Vice Chair,Plaid Cymru
2119,All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Jonathan Edwards,Vice Chair,Plaid Cymru
2120,All-Party Parliamentary Group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against government targets across the UK to eradicate fuel poverty; to advocate policies that deliver affordable warmth for low income and vulnerable households with emphasis on improved domestic energy efficiency and efficient heating systems.,Jonathan Edwards,Wales Officer,Plaid Cymru
2121,All-Party Parliamentary Group on Rail in Wales,"To provide a forum for parliamentarians to discuss issues related to the rail network and industry in Wales. To conduct specific inquiries, and to hear directly from representatives of the rail industry.",Jonathan Edwards,Vice Chair,Plaid Cymru
2122,All-Party Parliamentary Group for Squash and Racketball,To support and raise the profile of the sports squash and racketball in Parliament.,Jonathan Edwards,Officer,Plaid Cymru
2123,Thalidomide All-Party Parliamentary Group,To provide support to those whose lives were affected by exposure to the drug Thalidomide.,Jonathan Edwards,Vice Chair,Plaid Cymru
2124,All-Party Parliamentary Group on Transatlantic Trade,"To provide a focus for UK parliamentary cross-party support for a comprehensive transatlantic trade and investment agreement; to contribute to greater public debate and understanding of potential benefits and drawbacks for British consumers, workers, businesses; to strengthen parliamentary and public scrutiny to help secure a successful agreement.",Jonathan Edwards,Vice-Chair,Plaid Cymru
2125,All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Jonathan Reynolds,Vice Chair,Labour (Co-op)
2126,All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Jonathan Reynolds,Officer,Labour (Co-op)
2127,Greater Manchester All-Party Parliamentary Group,"To bring MPs and Peers of all parties together with key leaders - the Mayor and those in local government, the private and voluntary sectors, and social enterprise - to help maximise future investment in the region for the benefit of all the communities of Greater Manchester.",Jonathan Reynolds,Secretary,Labour (Co-op)
2128,All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",Jonathan Reynolds,Vice-Chair,Labour (Co-op)
2129,All-Party Parliamentary Group on Japan,"To promote positive UK-Japan links at political, diplomatic and business levels.",Judith Cummins,Vice Chair,Labour
2130,All-Party Parliamentary Group on Dementia,To raise awareness of dementia among parliamentarians and to influence legislation and policy making in order to improve the lives of people with dementia and their carers.,Judith Cummins,Officer,Labour
2131,All-Party Parliamentary Group for Dentistry and Oral Health,"To act as a focus for dental and oral health issues in Parliament, and work to raise the profile of dentistry.",Judith Cummins,Vice Chair,Labour
2132,All-Party Parliamentary Group on Key Cities,"To offer a forum for parliamentarians to discuss matters of mutual interest across the UK's key cities. The Key Cities organisation is a cross-party initiative whose members are committed to ensuring that all UK cities are placed on a sustainable footing to deliver continued, inclusive economic growth.",Judith Cummins,Vice Chair,Labour
2133,All-Party Parliamentary Group on Policing and Security,To promote better understanding of policing and security issues amongst both Houses of Parliament.,Judith Cummins,Vice Chair,Labour
2134,All-Party Parliamentary Rugby League Group,To support the sport of rugby league football.,Judith Cummins,Chair & Registered Contact,Labour
2135,British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Julia Lopez,Vice Chair,Conservative
2136,All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Julia Lopez,Secretary (Commons),Conservative
2137,All-Party Parliamentary Group on Alternative Lending,"To help legislators keep pace with a rapidly evolving sector, and help them understand the effects of change both on employers and consumers. To provide a forum where MPs and Peers can talk to lenders and ensure the market develops in harmony with policy.",Julian Knight,Co-Chair,Conservative
2138,All-Party Parliamentary Cricket Group,To foster and improve relations between Parliament and cricket at all levels.,Julian Knight,Vice Chair,Conservative
2139,All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Julian Knight,Vice Chair,Conservative
2140,All-Party Parliamentary Group on Financial Education for Young People,"To provide a forum for parliamentarians and organisations to discuss the current provision of financial education in schools, further education and higher education, and ensure that all young people - regardless of background - are equipped to make informed financial decisions.",Julian Knight,Chair & Registered Contact,Conservative
2141,All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Julian Knight,Vice Chair,Conservative
2142,All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK‰Ûªs automotive industry, motorsport industry and vehicle users, focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders.  The joint-secretariat partners collaborate to support this mission.",Julian Knight,Vice Chair,Conservative
2143,All-party Parliamentary Group on Pension Clawback,"To campaign for HSBC UK to remove state deduction, more commonly known as pension integration or 'clawback', from the post-1974 Midland Bank Defined Benefit Pension Scheme.  To raise awareness of pension clawback more generally, especially in cases where it has been poorly communicated, and to highlight its discriminatory impacts.",Julian Knight,Vice Chair,Conservative
2144,All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Julian Sturdy,Vice Chair for Agriculture,Conservative
2145,All-Party Parliamentary Group on Antibiotics,"To raise the profile of, and keep MPs and Peers informed about, antibiotic resistance and of new treatments.  To raise the profile of the need to preserve antibiotics through education on their appropriate use, including non-human uses.  To accelerate efforts to discover, research and develop new treatments, including new drugs.",Julian Sturdy,Chair & Registered Contact,Conservative
2146,All-Party Parliamentary Group on Childcare and Early Education,To  provide a forum for parliamentarians to constructively examine and debate policy affecting non-maintained childcare and early education providers.,Julian Sturdy,Officer,Conservative
2147,All-Party Parliamentary Group on Family Business,To promote and facilitate communication and understanding between the UK family business sector and members of both houses.,Julian Sturdy,Vice Chair,Conservative
2148,All-Party Parliamentary Group for Farming,To promote all aspects of farming and contribute to policy making as the industry prepares to leave the European Union.,Julian Sturdy,Chair & Registered Contact,Conservative
2149,All-Party Parliamentary Osteoporosis Group,To inform both Houses about osteoporosis.,Julian Sturdy,Vice-Chair,Conservative
2150,All-Party Parliamentary Group on Pharmacy,"To raise awareness of the profession of pharmacy, and to promote pharmacists' current and potential contribution to the health of the nation.",Julian Sturdy,Secretary,Conservative
2151,All-Party Parliamentary Group for Rural Business,To champion rural business and promote good policy outcomes for those who run rural enterprises.,Julian Sturdy,Chair & Registered Contact,Conservative
2152,All-Party Parliamentary Group on Science and Technology in Agriculture,To provide a forum for parliamentarians and stakeholders to debate and highlight the value of science and technology in agriculture.,Julian Sturdy,Chair & Registered Contact,Conservative
2153,All-Party Parliamentary Group for the Prevention of Adverse Childhood Experiences,"To create practical action, both inside and outside Parliament, to identify and promote policies for the prevention of adverse childhood experiences.",Julie Cooper,Treasurer,Labour
2154,All-Party Parliamentary Group on Young People's Health,"To bring together parliamentarians, health system partners, the voluntary sector and other stakeholders from across the political spectrum to promote and facilitate discussion around young people and their health.",Julie Cooper,Officer,Labour
2155,British Parliamentary Awards All-Party Parliamentary Group,"To recognise the most influential organisations in UK global relations by bringing together and promoting Britain's highest achieving men and women on a local, national and international level as part of a new Global Britain campaign.",Julie Elliott,Vice Chair,Labour
2156,All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Julie Elliott,Chair & Registered Contact,Labour
2157,All-Party Parliamentary Group on Energy Costs,To promote evidence-based discussion on all aspects of energy costs; to inform energy policy decisions and public debate; and to enable communications between interested parties and relevant Parliamentarians.,Julie Elliott,Vice Chair,Labour
2158,All-Party Parliamentary Group for Energy Studies,"To look at all aspects of energy and help industry, academia and government to work together.",Julie Elliott,Officer,Labour
2159,All-Party Parliamentary Group on a Fit and Healthy Childhood,To promote evidence-based discussion and produce reports on all aspects of childhood health and wellbeing including obesity; to inform policy decisions and public debate relating to childhood; and to enable communications between interested parties and relevant parliamentarians.,Julie Elliott,Vice Chair,Labour
2160,All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Julie Elliott,Vice Chair,Labour
2161,All-Party Parliamentary Group on Key Cities,"To offer a forum for parliamentarians to discuss matters of mutual interest across the UK's key cities. The Key Cities organisation is a cross-party initiative whose members are committed to ensuring that all UK cities are placed on a sustainable footing to deliver continued, inclusive economic growth.",Julie Elliott,Treasurer,Labour
2162,Northern Powerhouse All-Party Parliamentary Group,"To bring together northern MPs and Peers with the new metro mayors and key leaders - from local government, the private and third sectors - to give a strong political voice for policies which support the northern economy and promote its potential as a place to study, work, live and invest.",Julie Elliott,Co-Chair,Labour
2163,All-Party Parliamentary Group on Rugby Union,To promote the sport of rugby union.,Julie Elliott,Chair & Registered Contact,Labour
2164,All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Julie Elliott,Vice-Chair,Labour
2165,All-Party Parliamentary Group on Women in Parliament,To increase the number of women in Parliament in all parties and to encourage women to get involved in public life.,Julie Elliott,Vice Chair,Labour
2166,All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Justin Madders,Vice-Chair,Labour
2167,All-Party Parliamentary Group on Foodbanks,To look at the rise of foodbank use in the UK and reasons behind the rise.,Justin Madders,Vice Chair,Labour
2168,All-Party Parliamentary Group on Ending Homelessness,To bring together parliamentarians of all parties with an interest in and commitment to ending homelessness; focus on all types of homelessness and differing solutions needed; make recommendations for the work of a wide range of departments who are key to ending homelessness.,Justin Madders,Officer,Labour
2169,All-Party Parliamentary Group on Leasehold and Commonhold Reform,"To examine the complex, antiquated legal matrix governing leasehold tenure in England; analyse the effects of investigatory powers by Government and regulatory bodies within the leasehold sector on protecting leaseholders from exploitation; explore how our current leasehold laws and systems can be improved and the implementation of commonhold tenure, as it is intended.",Justin Madders,Vice Chair,Labour
2170,All-Party Parliamentary Group on Mersey Dee North Wales,"To forge further economic, social and political links in the unique, urban cross-border areas of North Wales, the Wirral and Cheshire West and Chester.",Justin Madders,Secretary,Labour
2171,All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Justin Madders,Chair & Registered Contact,Labour
2172,All-Party Parliamentary Group on Consumer Protection,"To provide a voice for ordinary retail consumers across a range of sectors in the UK economy; to raise awareness of issues, rights and obligations in the field of consumer protection with parliamentarians and the wider public.",Justin Tomlinson,Vice Chair,Conservative
2173,All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Justine Greening,Vice Chair,Conservative
2174,All-Party Parliamentary Group on Cuba,To encourage links with parliamentarians in Cuba and foster understanding of developments in Cuba amongst parliamentarians in the UK.,Karen Lee,Chair & Registered Contact,Labour
2175,All-Party Parliamentary Group on Nigeria,To create a better understanding of issues relating to Nigeria; to promote links between the UK and Nigeria; and to support development and democracy in Nigeria.,Karen Lee,Vice Chair,Labour
2176,All-Party Parliamentary Group on Breast Cancer,"To raise the profile of breast cancer issues within parliament. The group provides a forum for MPs and Peers to discuss important issues affecting patients with breast cancer. It encourages dialogue between parliamentarians, government, the NHS and those living with or affected by the disease.",Karen Lee,Vice Chair,Labour
2177,"All-Party Parliamentary Group on Children, Teenagers, and Young Adults with Cancer","To raise awareness of the issues affecting children, teenagers, and young adults with cancer and their families in Parliament.",Karen Lee,Officer,Labour
2178,All-Party Parliamentary Group on Democracy and Human Rights in the Gulf,"To explore the human rights abuses committed by the member states of the Gulf Cooperation Council: UAE, Bahrain, Saudi Arabia, Oman Qatar, Kuwait and Yemen.  To raise awareness and encourage parliamentary scrutiny of these issues, ultimately keeping the British government accountable for its relationship with these regimes.",Karen Lee,Chair & Registered Contact,Labour
2179,All-Party Parliamentary Group on the East Midlands,"To bring together MPs and Peers from across the East Midlands region, in coordination with leaders in local government, commerce and civil society, to identify priorities for development and maximise future investment in the region, to the benefit of all its communities.",Karen Lee,Vice Chair,Labour
2180,All-Party Parliamentary Group on Youth Affairs,"To raise the profile of issues which affect and concern young people; to encourage dialogue between parliamentarians, young people and youth services; and to encourage a co-ordinated and coherent approach to policy making on youth affairs.",Karen Lee,Secretary,Labour
2181,All-Party Parliamentary Group on Ireland and the Irish in Britain,"To promote good relations between Ireland and the UK, foster understanding of issues affecting the British-Irish relationship; celebrate links between both countries and their peoples; and represent and raise issues affecting the Irish community in Britain.",Karin Smyth,Officer,Labour
2182,All-Party Parliamentary Group on Apprenticeships,"To provide a forum for parliamentarians and employers to discuss how to promote the role of high quality apprenticeships, how to ensure that apprenticeships serve as a pathway to a career and how the apprenticeship model can meet the changing skill demands from businesses.",Karin Smyth,Officer,Labour
2183,All-Party Parliamentary Group for Choice at the End of Life,"To promote greater patient choice at the end of life, particularly over where, when and how one dies. This group believes that mentally competent adults should have the right to refuse treatment, and provided sufficient legal safeguards are in place, the right to an assisted death.",Karin Smyth,Co-Chair,Labour
2184,All-Party Parliamentary Group on Clinical Leadership and Management,"To examine, promote and advance leadership and management in healthcare.",Karin Smyth,Officer,Labour
2185,All-Party Parliamentary Health Group,"The APPG is dedicated to disseminating knowledge, generating debate and facilitating engagement with health issues amongst Members of both Houses of Parliament.",Karin Smyth,Officer,Labour
2186,"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Karl Turner,Officer,Labour
2187,All-Party Parliamentary Group for Dalits,To draw attention to the discrimination against Dalits (the former untouchables) wherever it occurs and support attempts to eliminate it.,Kate Green,Vice Chair,Labour
2188,All-Party Parliamentary Group on Foodbanks,To look at the rise of foodbank use in the UK and reasons behind the rise.,Kate Green,Vice Chair,Labour
2189,"All-Party Parliamentary Group for Gypsies, Travellers and Roma","To provide a forum for parliamentarians concerned about issues facing Gypsies, Travellers and Roma.",Kate Green,Chair & Registered Contact,Labour
2190,All-Party Parliamentary Group on Learning Disability,"To look at the issues facing people with a learning disability and their families. The group looks at the key issues of the day, across areas including health, social care, education, work and benefits.",Kate Green,Vice Chair,Labour
2191,All-Party Parliamentary Group on Migration,"To support the emergence of mainstream, progressive policy debate on migration in the UK parliament.",Kate Green,Chair & Registered Contact,Labour
2192,All-Party Parliamentary Group on Penal Affairs,To increase Members' knowledge of penal affairs and to work through parliamentary channels to reform the penal system.,Kate Green,Vice-Chair,Labour
2193,All-Party Parliamentary Group for Valproate and other Anti-Epileptic Drugs in Pregnancy,To raise Government awareness of the dangers of Valproate and other Anti-Epileptic Drugs in pregnancy and to support and advocate for those harmed by the drugs taken by the mother in pregnancy.,Kate Green,Officer,Labour
2194,All-Party Parliamentary Group for Women in the Penal System,To increase knowledge and awareness of issues around women in the penal system as well as push for the full implementation of the Corston Report recommendations.,Kate Green,Co-Chair,Labour
2195,All-Party Parliamentary Group on Young People's Health,"To bring together parliamentarians, health system partners, the voluntary sector and other stakeholders from across the political spectrum to promote and facilitate discussion around young people and their health.",Kate Green,Officer,Labour
2196,Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Kate Hoey,Vice Chair,Labour
2197,All-Party Parliamentary Group on Oman,To promote further understanding and good relations between the United Kingdom and the Sultanate of Oman.,Kate Hoey,Chair & Registered Contact,Labour
2198,All-Party Parliamentary Group on Zimbabwe,To support democratic governance in Zimbabwe and to foster good relations between Zimbabwe and the UK.,Kate Hoey,Chair & Registered Contact,Labour
2199,All-Party Parliamentary Group on Cannabis: Harmful Effects on Developing Brains,"To inform members of both Houses of Parliament and, using sound scientific and medical evidence, to raise awareness and stimulate discussion about the impact of cannabis on developing brains.",Kate Hoey,Vice Chair,Labour
2200,All-Party Parliamentary Group for Governance and Inclusive Leadership,To raise the issue of inclusive leadership and governance in all areas of society with the aim of making it the norm for people from visible minorities to be in positions of power and influence throughout the UK.,Kate Hollern,Vice Chair,Labour
2201,All-Party Parliamentary Group for Cyprus,To promote relationships between the UK and the Republic of Cyprus and their elected parliamentarians and people.,Kate Osamor,Officer,Labour (Co-op)
2202,All-Party Parliamentary Group on Nigeria,To create a better understanding of issues relating to Nigeria; to promote links between the UK and Nigeria; and to support development and democracy in Nigeria.,Kate Osamor,Chair & Registered Contact,Labour (Co-op)
2203,All-Party Parliamentary Group for Alevis,"The APPG was established to recognise the important contribution that the Alevi community makes to British society; to ensure that British Alevis are represented in Parliament by giving them a platform to express their legitimate socio-political aspirations, so they achieve recognition for their rights and religion in Britain and overseas.",Kate Osamor,Vice Chair,Labour (Co-op)
2204,All-Party Parliamentary Group on Knife Crime,"To evaluate policies and programmes aimed at reducing knife crime, gain better understanding of its root causes and the wider context of youth violence, and develop recommendations for new measures at both acute and preventative stages with a view to reducing levels of knife crime.",Kate Osamor,Officer,Labour (Co-op)
2205,All-Party Parliamentary Group for Kurds in Turkey,"To raise the condition of the Kurdish people in Turkey.  To raise awareness of solidarity and engagement for building democratic, free relationships by encouraging dialogue and discussions.  To support efforts of developing and consolidating democracy, peaceful co-existence and harmony in the region.  To organise cultural and social events, workshops and seminars to raise awareness of solidarity, development and the needs of the region.",Kate Osamor,Chair & Registered Contact,Labour (Co-op)
2206,All-Party Parliamentary Group on the Rule of Law,"To promote parliamentary and public discussion of the rule of law as a practical concept, and to mainstream the importance of the rule of law in Parliament.",Keir Starmer,Vice Chair,Labour
2207,All-Party Parliamentary Group on Victims of Crime,To monitor and inform the government's victims strategy and try to ensure that it is as robust and all-inclusive as possible.,Keir Starmer,Vice Chair,Labour
2208,All-Party Parliamentary Group on Yemen,To draw attention to issues impacting Yemen including the current civil war.,Keith Vaz,Chair & Registered Contact,Labour
2209,All-Party Parliamentary Chinese in Britain Group,To promote the integration of the British Chinese into UK society and their representation and participation in the UK democratic process.,Keith Vaz,Officer,Labour
2210,All-Party Parliamentary Group for Diabetes,Raising awareness for Diabetes and the issues of diabetic people across the UK.,Keith Vaz,Chair & Registered Contact,Labour
2211,All-Party Parliamentary Group on Visas and Immigration,The APPG on visas and immigration will focus on these specific issues and examine potential changes that could be introduced.,Keith Vaz,Chair & Registered Contact,Labour
2212,All-Party Parliamentary Group on Young People's Health,"To bring together parliamentarians, health system partners, the voluntary sector and other stakeholders from across the political spectrum to promote and facilitate discussion around young people and their health.",Kelly Tolhurst,Chair & Registered Contact,Conservative
2213,All-Party Parliamentary British-Norwegian Group,To promote relations between the UK and Norway.,Kelvin Hopkins,Vice Chair,Independent
2214,British-Swedish All-Party Parliamentary Group,"To promote relations between Britain and Sweden, their parliaments and people.",Kelvin Hopkins,Vice Chair,Independent
2215,All-Party Parliamentary Group on Alcohol Harm,To promote discussion of alcohol related issues and to raise issues of concern and make recommendations to government and other policy makers.,Kelvin Hopkins,Vice Chair,Independent
2216,All-Party Parliamentary Group on Extraordinary Rendition,"To examine extraordinary rendition and related issues, in response to allegations of British involvement in the extraordinary rendition programme.",Kelvin Hopkins,Vice Chair,Independent
2217,All-Party Parliamentary Group for the Future of Transport,"To help ensure that Britain is at the forefront of transport innovation, by taking a wide multi-modal view of how technology, engineering and transport are all interconnected and how each affects the other.",Kelvin Hopkins,Vice Chair,Independent
2218,All-Party Parliamentary Group for Historic Vehicles,"To encourage interest in, and the promotion and use of, vintage historic and classic vehicles.",Kelvin Hopkins,Vice Chair,Independent
2219,All-Party Parliamentary Group for Jazz Appreciation,"To encourage wider and deeper enjoyment of jazz, to increase parliamentarians' understanding of the jazz industry and issues surrounding it, to promote jazz as a musical form and to raise its profile inside and outside Parliament.",Kelvin Hopkins,Chair & Registered Contact,Independent
2220,All-Party Parliamentary Rail Group,To facilitate an informed debate amongst parliamentarians regarding all aspects of the UK's railway industries.,Kelvin Hopkins,Vice Chair,Independent
